For the previous week of,Average daily cases
2020-08-09,181
2020-08-16,181
2020-08-23,143
2020-08-30,164
2020-09-06,146
2020-09-13,126
2020-09-20,141
2020-09-27,152
2020-10-04,156
2020-10-11,147
2020-10-18,152
2020-10-25,184
2020-11-01,207
2020-11-09,198
2020-11-15,328
2020-11-22,476
2020-11-30,774
2020-12-07,980
2020-12-14,1021
2020-12-20,1025
2020-12-28,1294
2021-01-04,1299
2021-01-11,1694
2021-01-18,2071
2021-01-25,1608
2021-01-31,1405
2021-02-07,1228
2021-02-21,796
2021-02-28,796
2021-03-07,201
2021-03-14,182
2021-03-21,174
2021-03-28,184
2021-04-04,151
2021-04-12,226
2021-04-18,200
2021-04-25,230
2021-05-02,262
2021-05-09,205
2021-05-16,161
2021-05-23,139
2021-05-30,102
2021-06-06,105
2021-06-13,70
2021-06-20,115
2021-06-27,94
2021-07-04,111
2021-07-11,2263
2021-07-18,306
2021-07-25,577
2021-08-01,1146
2021-08-08,1237
2021-08-17,1646
2021-08-22,1385
2021-08-29,1186
2021-09-05,1026
2021-09-14,885
2021-09-21,836
2021-09-28,553
2021-10-05,474
2021-10-12,373
2021-10-19,280
2021-10-26,238
2021-11-02,191
2021-11-09,149
2021-11-17,199
2021-11-23,177
2021-11-30,190
2021-12-07,216
2021-12-15,248
2021-12-21,261
2022-01-03,2055
2022-01-11,3662
2022-01-18,5266
2022-01-25,5814
2022-02-01,4889
2022-02-08,2489
2022-02-15,913
2022-02-22,460
2022-03-01,266
2022-03-08,162
2022-03-15,107
2022-03-22,66
2022-03-29,59
2022-04-05,71
2022-04-12,73
2022-04-19,93
2022-04-26,115
2022-05-03,128
2022-05-10,149
2022-05-17,227
2022-05-24,312
2022-05-31,402
2022-06-07,482
2022-06-15,546
2022-06-21,559
2022-06-28,891
2022-07-05,947
2022-07-12,942
2022-07-19,998
2022-07-26,927
2022-08-02,888
2022-08-09,808
2022-08-16,824
2022-08-23,670
2022-08-30,679
2022-09-06,677
2022-09-13,503
2022-09-20,397
2022-09-27,263
2022-10-04,187
2022-10-11,136
2022-10-18,131
2022-10-25,110
2022-11-01,98
2022-11-08,66
2022-11-15,143
2022-11-22,164
2022-11-29,153
2022-12-06,325
2022-12-13,391
2022-12-20,358
2022-12-27,414
2023-01-03,424
2023-01-10,351
2023-01-17,409
